marble_ID,relative_path,created,last_updated,found_in_older_1
MARKET-CONF-A,../_mms-md/MARKET-CONF-A.md,2023-09-06 20:06:04 +0000,2024-09-20 04:52:58 +0000,YES
POWER-ECONOMY-A,../_mms-md/POWER-ECONOMY-A.md,2024-01-30 21:20:56 +0000,2024-09-20 04:52:58 +0000,YES
INTERDISCIPLINARITY-A,../_mms-md/INTERDISCIPLINARITY-A.md,2024-03-20 16:12:03 +0000,2024-09-20 04:52:58 +0000,YES
ENTITLEMENT-A,../_mms-md/ENTITLEMENT-A.md,2023-08-11 19:33:50 +0000,2024-09-20 04:52:58 +0000,YES
letter-to-the-SF-Chronicle,../_mms-md/letter-to-the-SF-Chronicle.md,2024-07-29 04:08:24 +0000,2024-09-20 04:52:59 +0000,YES
IMAGINATION-A,../_mms-md/IMAGINATION-A.md,2023-10-19 20:59:35 +0000,2024-09-20 04:52:58 +0000,YES
EYTIdentity-A,../_mms-md/EYTIdentity-A.md,2024-01-14 06:30:46 +0000,2024-09-20 04:52:58 +0000,YES
letter-to-people-power-solar-cooperative,../_mms-md/letter-to-people-power-solar-cooperative.md,2024-09-10 14:12:09 +0000,2024-09-20 04:52:59 +0000,YES
RENEW-MINING-A,../_mms-md/RENEW-MINING-A.md,2023-10-04 22:53:01 +0000,2024-09-20 04:52:58 +0000,YES
TECH-INTERDEP-A,../_mms-md/TECH-INTERDEP-A.md,2023-11-29 03:01:31 +0000,2024-09-20 04:52:58 +0000,YES
WORK-WEEK-A,../_mms-md/WORK-WEEK-A.md,2024-08-19 21:26:21 +0000,2024-09-20 04:58:06 +0000,YES
MESH-CAP-A,../_mms-md/MESH-CAP-A.md,2023-09-25 21:06:00 +0000,2024-09-20 04:52:58 +0000,YES
LIVESTOCK-LAND-HOUSING-HOUSELESS,../_mms-md/LIVESTOCK-LAND-HOUSING-HOUSELESS.md,2024-09-03 05:30:20 +0000,2024-09-20 04:52:58 +0000,YES
PORTFOLIO-SYSTEMS-THINKING-ILLUSTRATIONS,../_mms-md/PORTFOLIO-SYSTEMS-THINKING-ILLUSTRATIONS.md,2024-04-05 01:03:06 +0000,2024-09-20 04:52:58 +0000,YES
ADAPT-CHANGE,../_mms-md/ADAPT-CHANGE.md,2023-08-11 19:18:22 +0000,2024-09-20 04:52:58 +0000,YES
PRECAUTIONARY-PRINCIPLE-A,../_mms-md/PRECAUTIONARY-PRINCIPLE-A.md,2023-12-09 01:15:12 +0000,2024-09-20 04:52:58 +0000,YES
BAY-AREA-LINKS,../_mms-md/BAY-AREA-LINKS.md,2024-11-08 21:22:08 +0000,2024-11-15 07:49:58 +0000,
ELECYT-LASER-VIZ-A,../_mms-md/ELECYT-LASER-VIZ-A.md,2024-01-19 00:28:56 +0000,2024-09-30 02:07:49 +0000,YES
